Plot Title: 10522275,,,,,,,
#,"Date Time, GMT-04:00","Temp, ¡C (LGR S/N: 10522275, SEN S/N: 10522275)","Intensity, Lux (LGR S/N: 10522275, SEN S/N: 10522275)",Coupler Attached (LGR S/N: 10522275),Host Connected (LGR S/N: 10522275),Stopped (LGR S/N: 10522275),End Of File (LGR S/N: 10522275)
1,9/26/15 9:00,21.091,0,,,,
2,9/26/15 9:30,20.996,0,,,,
3,9/26/15 10:00,20.615,10.8,,,,
4,9/26/15 10:30,20.996,96.9,,,,
5,9/26/15 11:00,15.855,129.2,,,,
6,9/26/15 11:30,16.141,129.2,,,,
7,9/26/15 12:00,16.523,107.6,,,,
8,9/26/15 12:30,16.903,107.6,,,,
9,9/26/15 13:00,17.284,139.9,,,,
10,9/26/15 13:30,17.665,139.9,,,,
11,9/26/15 14:00,18.14,247.6,,,,
12,9/26/15 14:30,18.521,139.9,,,,
13,9/26/15 15:00,18.901,161.5,,,,
14,9/26/15 15:30,19.187,118.4,,,,
15,9/26/15 16:00,19.187,118.4,,,,
16,9/26/15 16:30,19.092,118.4,,,,
17,9/26/15 17:00,18.901,86.1,,,,
18,9/26/15 17:30,18.806,75.3,,,,
19,9/26/15 18:00,18.616,43.1,,,,
20,9/26/15 18:30,18.426,10.8,,,,
21,9/26/15 19:00,18.236,0,,,,
22,9/26/15 19:30,18.045,0,,,,
23,9/26/15 20:00,17.855,0,,,,
24,9/26/15 20:30,17.665,0,,,,
25,9/26/15 21:00,17.57,0,,,,
26,9/26/15 21:30,17.379,0,,,,
27,9/26/15 22:00,17.284,0,,,,
28,9/26/15 22:30,17.189,0,,,,
29,9/26/15 23:00,16.999,0,,,,
30,9/26/15 23:30,16.903,0,,,,
31,9/27/15 0:00,16.713,0,,,,
32,9/27/15 0:30,16.618,0,,,,
33,9/27/15 1:00,16.427,0,,,,
34,9/27/15 1:30,16.332,0,,,,
35,9/27/15 2:00,16.141,0,,,,
36,9/27/15 2:30,16.046,0,,,,
37,9/27/15 3:00,15.855,0,,,,
38,9/27/15 3:30,15.76,0,,,,
39,9/27/15 4:00,15.569,0,,,,
40,9/27/15 4:30,15.378,0,,,,
41,9/27/15 5:00,15.282,0,,,,
42,9/27/15 5:30,15.187,0,,,,
43,9/27/15 6:00,14.996,0,,,,
44,9/27/15 6:30,14.804,0,,,,
45,9/27/15 7:00,14.709,0,,,,
46,9/27/15 7:30,14.613,21.5,,,,
47,9/27/15 8:00,14.613,43.1,,,,
48,9/27/15 8:30,14.517,53.8,,,,
49,9/27/15 9:00,14.613,139.9,,,,
50,9/27/15 9:30,14.709,107.6,,,,
51,9/27/15 10:00,14.9,204.5,,,,
52,9/27/15 10:30,14.996,172.2,,,,
53,9/27/15 11:00,15.282,161.5,,,,
54,9/27/15 11:30,15.473,150.7,,,,
55,9/27/15 12:00,15.855,172.2,,,,
56,9/27/15 12:30,16.332,118.4,,,,
57,9/27/15 13:00,16.713,118.4,,,,
58,9/27/15 13:30,17.189,161.5,,,,
59,9/27/15 14:00,17.57,96.9,,,,
60,9/27/15 14:30,18.045,86.1,,,,
61,9/27/15 15:00,18.521,86.1,,,,
62,9/27/15 15:30,18.806,64.6,,,,
63,9/27/15 16:00,18.996,75.3,,,,
64,9/27/15 16:30,18.901,32.3,,,,
65,9/27/15 17:00,18.806,32.3,,,,
66,9/27/15 17:30,18.616,53.8,,,,
67,9/27/15 18:00,18.426,32.3,,,,
68,9/27/15 18:30,18.236,10.8,,,,
69,9/27/15 19:00,18.14,0,,,,
70,9/27/15 19:30,17.95,0,,,,
71,9/27/15 20:00,17.76,0,,,,
72,9/27/15 20:30,17.665,0,,,,
73,9/27/15 21:00,17.475,0,,,,
74,9/27/15 21:30,17.379,0,,,,
75,9/27/15 22:00,17.284,0,,,,
76,9/27/15 22:30,17.189,0,,,,
77,9/27/15 23:00,16.999,0,,,,
78,9/27/15 23:30,16.903,0,,,,
79,9/28/15 0:00,16.808,0,,,,
80,9/28/15 0:30,16.713,0,,,,
81,9/28/15 1:00,16.618,0,,,,
82,9/28/15 1:30,16.427,0,,,,
83,9/28/15 2:00,16.332,0,,,,
84,9/28/15 2:30,16.237,0,,,,
85,9/28/15 3:00,16.141,0,,,,
86,9/28/15 3:30,16.046,0,,,,
87,9/28/15 4:00,16.046,0,,,,
88,9/28/15 4:30,16.046,0,,,,
89,9/28/15 5:00,16.046,0,,,,
90,9/28/15 5:30,15.951,0,,,,
91,9/28/15 6:00,15.951,0,,,,
92,9/28/15 6:30,15.951,0,,,,
93,9/28/15 7:00,15.951,0,,,,
94,9/28/15 7:30,15.951,21.5,,,,
95,9/28/15 8:00,15.951,10.8,,,,
96,9/28/15 8:30,15.951,10.8,,,,
97,9/28/15 9:00,16.046,96.9,,,,
98,9/28/15 9:30,16.237,129.2,,,,
99,9/28/15 10:00,16.427,150.7,,,,
100,9/28/15 10:30,16.618,290.6,,,,
101,9/28/15 11:00,16.903,129.2,,,,
102,9/28/15 11:30,17.094,183,,,,
103,9/28/15 12:00,17.379,161.5,,,,
104,9/28/15 12:30,17.475,172.2,,,,
105,9/28/15 13:00,17.76,172.2,,,,
106,9/28/15 13:30,18.14,236.8,,,,
107,9/28/15 14:00,18.426,204.5,,,,
108,9/28/15 14:30,18.616,236.8,,,,
109,9/28/15 15:00,18.711,107.6,,,,
110,9/28/15 15:30,18.806,107.6,,,,
111,9/28/15 16:00,18.996,86.1,,,,
112,9/28/15 16:30,18.996,64.6,,,,
113,9/28/15 17:00,18.996,75.3,,,,
114,9/28/15 17:30,18.996,43.1,,,,
115,9/28/15 18:00,18.996,21.5,,,,
116,9/28/15 18:30,18.901,0,,,,
117,9/28/15 19:00,18.806,0,,,,
118,9/28/15 19:30,18.711,0,,,,
119,9/28/15 20:00,18.616,0,,,,
120,9/28/15 20:30,18.616,0,,,,
121,9/28/15 21:00,18.521,0,,,,
122,9/28/15 21:30,18.426,0,,,,
123,9/28/15 22:00,18.426,0,,,,
124,9/28/15 22:30,18.331,0,,,,
125,9/28/15 23:00,18.331,0,,,,
126,9/28/15 23:30,18.331,0,,,,
127,9/29/15 0:00,18.236,0,,,,
128,9/29/15 0:30,18.236,0,,,,
129,9/29/15 1:00,18.236,0,,,,
130,9/29/15 1:30,18.14,0,,,,
131,9/29/15 2:00,18.14,0,,,,
132,9/29/15 2:30,18.14,0,,,,
133,9/29/15 3:00,18.045,0,,,,
134,9/29/15 3:30,18.045,0,,,,
135,9/29/15 4:00,17.95,0,,,,
136,9/29/15 4:30,17.95,0,,,,
137,9/29/15 5:00,17.95,0,,,,
138,9/29/15 5:30,17.95,0,,,,
139,9/29/15 6:00,17.855,0,,,,
140,9/29/15 6:30,17.855,0,,,,
141,9/29/15 7:00,17.76,0,,,,
142,9/29/15 7:30,17.76,0,,,,
143,9/29/15 8:00,17.76,0,,,,
144,9/29/15 8:30,17.855,32.3,,,,
145,9/29/15 9:00,17.95,53.8,,,,
146,9/29/15 9:30,18.045,64.6,,,,
147,9/29/15 10:00,18.045,43.1,,,,
148,9/29/15 10:30,18.14,96.9,,,,
149,9/29/15 11:00,18.331,75.3,,,,
150,9/29/15 11:30,18.426,86.1,,,,
151,9/29/15 12:00,18.426,32.3,,,,
152,9/29/15 12:30,18.521,96.9,,,,
153,9/29/15 13:00,18.711,150.7,,,,
154,9/29/15 13:30,18.806,161.5,,,,
155,9/29/15 14:00,18.901,75.3,,,,
156,9/29/15 14:30,18.901,10.8,,,,
157,9/29/15 15:00,18.996,53.8,,,,
158,9/29/15 15:30,18.996,43.1,,,,
159,9/29/15 16:00,18.901,32.3,,,,
160,9/29/15 16:30,18.901,10.8,,,,
161,9/29/15 17:00,18.901,0,,,,
162,9/29/15 17:30,18.901,0,,,,
163,9/29/15 18:00,18.806,0,,,,
164,9/29/15 18:30,18.711,0,,,,
165,9/29/15 19:00,18.711,0,,,,
166,9/29/15 19:30,18.616,0,,,,
167,9/29/15 20:00,18.521,0,,,,
168,9/29/15 20:30,18.426,0,,,,
169,9/29/15 21:00,18.331,0,,,,
170,9/29/15 21:30,18.236,0,,,,
171,9/29/15 22:00,18.14,0,,,,
172,9/29/15 22:30,18.14,0,,,,
173,9/29/15 23:00,18.236,0,,,,
174,9/29/15 23:30,18.521,0,,,,
175,9/30/15 0:00,18.711,0,,,,
176,9/30/15 0:30,18.616,0,,,,
177,9/30/15 1:00,18.521,0,,,,
178,9/30/15 1:30,18.331,0,,,,
179,9/30/15 2:00,18.14,0,,,,
180,9/30/15 2:30,17.95,0,,,,
181,9/30/15 3:00,17.76,0,,,,
182,9/30/15 3:30,17.665,0,,,,
183,9/30/15 4:00,17.665,0,,,,
184,9/30/15 4:30,17.57,0,,,,
185,9/30/15 5:00,17.475,0,,,,
186,9/30/15 5:30,17.475,0,,,,
187,9/30/15 6:00,17.379,0,,,,
188,9/30/15 6:30,17.379,0,,,,
189,9/30/15 7:00,17.284,0,,,,
190,9/30/15 7:30,17.189,0,,,,
191,9/30/15 8:00,17.189,0,,,,
192,9/30/15 8:30,17.189,0,,,,
193,9/30/15 9:00,17.094,0,,,,
194,9/30/15 9:30,16.999,0,,,,
195,9/30/15 10:00,16.999,0,,,,
196,9/30/15 10:30,16.999,10.8,,,,
197,9/30/15 11:00,16.903,0,,,,
198,9/30/15 11:30,16.903,10.8,,,,
