Plot Title: 10522259,,,,,,,
#,"Date Time, GMT-04:00","Temp, ¡C (LGR S/N: 10522259, SEN S/N: 10522259)","Intensity, Lux (LGR S/N: 10522259, SEN S/N: 10522259)",Coupler Attached (LGR S/N: 10522259),Host Connected (LGR S/N: 10522259),Stopped (LGR S/N: 10522259),End Of File (LGR S/N: 10522259)
1,9/26/15 9:00,21.187,0,,,,
2,9/26/15 9:30,20.615,0,,,,
3,9/26/15 10:00,20.329,21.5,,,,
4,9/26/15 10:30,20.996,172.2,,,,
5,9/26/15 11:00,20.901,0,,,,
6,9/26/15 11:30,21.282,0,,,,
7,9/26/15 12:00,21.569,107.6,,,,
8,9/26/15 12:30,21.951,53.8,,,,
9,9/26/15 13:00,22.142,75.3,,,,
10,9/26/15 13:30,23.004,10.8,,,,
11,9/26/15 14:00,23.869,635.1,,,,
12,9/26/15 14:30,24.062,0,,,,
13,9/26/15 15:00,23.869,0,,,,
14,9/26/15 15:30,23.484,0,,,,
15,9/26/15 16:00,23.388,32.3,,,,
16,9/26/15 16:30,23.677,75.3,,,,
17,9/26/15 17:00,19.662,3616.7,,,,
18,9/26/15 17:30,19.282,2755.6,,,,
19,9/26/15 18:00,18.806,1636.1,,,,
20,9/26/15 18:30,18.14,667.4,,,,
21,9/26/15 19:00,17.284,21.5,,,,
22,9/26/15 19:30,16.523,0,,,,
23,9/26/15 20:00,16.141,0,,,,
24,9/26/15 20:30,15.76,0,,,,
25,9/26/15 21:00,15.282,0,,,,
26,9/26/15 21:30,14.9,0,,,,
27,9/26/15 22:00,14.613,0,,,,
28,9/26/15 22:30,14.23,0,,,,
29,9/26/15 23:00,13.942,0,,,,
30,9/26/15 23:30,13.75,0,,,,
31,9/27/15 0:00,13.461,0,,,,
32,9/27/15 0:30,13.269,0,,,,
33,9/27/15 1:00,13.076,0,,,,
34,9/27/15 1:30,12.883,0,,,,
35,9/27/15 2:00,12.594,0,,,,
36,9/27/15 2:30,12.304,0,,,,
37,9/27/15 3:00,12.11,0,,,,
38,9/27/15 3:30,11.722,0,,,,
39,9/27/15 4:00,11.236,0,,,,
40,9/27/15 4:30,11.041,0,,,,
41,9/27/15 5:00,10.748,0,,,,
42,9/27/15 5:30,10.553,0,,,,
43,9/27/15 6:00,10.357,0,,,,
44,9/27/15 6:30,10.161,0,,,,
45,9/27/15 7:00,10.161,139.9,,,,
46,9/27/15 7:30,9.965,645.8,,,,
47,9/27/15 8:00,10.357,2238.9,,,,
48,9/27/15 8:30,11.528,5511.1,,,,
49,9/27/15 9:00,13.558,8266.7,,,,
50,9/27/15 9:30,16.523,15844.5,,,,
51,9/27/15 10:00,17.189,23422.4,,,,
52,9/27/15 10:30,18.236,18600.1,,,,
53,9/27/15 11:00,18.331,23422.4,,,,
54,9/27/15 11:30,22.333,24800.2,,,,
55,9/27/15 12:00,22.333,18600.1,,,,
56,9/27/15 12:30,21.951,12400.1,,,,
57,9/27/15 13:00,21.187,10333.4,,,,
58,9/27/15 13:30,21.664,8266.7,,,,
59,9/27/15 14:00,22.142,7233.4,,,,
60,9/27/15 14:30,22.046,6544.5,,,,
61,9/27/15 15:00,22.238,5511.1,,,,
62,9/27/15 15:30,22.238,5166.7,,,,
63,9/27/15 16:00,22.046,4305.6,,,,
64,9/27/15 16:30,21.76,3616.7,,,,
65,9/27/15 17:00,21.473,1463.9,,,,
66,9/27/15 17:30,20.71,2583.4,,,,
67,9/27/15 18:00,20.043,1463.9,,,,
68,9/27/15 18:30,18.996,602.8,,,,
69,9/27/15 19:00,18.045,43.1,,,,
70,9/27/15 19:30,17.284,0,,,,
71,9/27/15 20:00,16.427,0,,,,
72,9/27/15 20:30,15.855,0,,,,
73,9/27/15 21:00,15.569,0,,,,
74,9/27/15 21:30,14.996,0,,,,
75,9/27/15 22:00,14.613,0,,,,
76,9/27/15 22:30,14.134,0,,,,
77,9/27/15 23:00,13.846,0,,,,
78,9/27/15 23:30,14.038,0,,,,
79,9/28/15 0:00,14.613,0,,,,
80,9/28/15 0:30,14.517,0,,,,
81,9/28/15 1:00,14.23,0,,,,
82,9/28/15 1:30,14.038,0,,,,
83,9/28/15 2:00,14.038,0,,,,
84,9/28/15 2:30,13.846,0,,,,
85,9/28/15 3:00,13.654,0,,,,
86,9/28/15 3:30,13.654,0,,,,
87,9/28/15 4:00,13.942,0,,,,
88,9/28/15 4:30,14.421,0,,,,
89,9/28/15 5:00,14.804,0,,,,
90,9/28/15 5:30,15.282,0,,,,
91,9/28/15 6:00,15.473,0,,,,
92,9/28/15 6:30,15.569,0,,,,
93,9/28/15 7:00,15.378,398.3,,,,
94,9/28/15 7:30,15.473,322.9,,,,
95,9/28/15 8:00,15.378,441.3,,,,
96,9/28/15 8:30,15.473,904.2,,,,
97,9/28/15 9:00,16.427,4822.3,,,,
98,9/28/15 9:30,17.379,4477.8,,,,
99,9/28/15 10:00,17.57,4822.3,,,,
100,9/28/15 10:30,18.616,5511.1,,,,
101,9/28/15 11:00,18.236,4477.8,,,,
102,9/28/15 11:30,18.521,3788.9,,,,
103,9/28/15 12:00,18.616,3100,,,,
104,9/28/15 12:30,19.853,8611.2,,,,
105,9/28/15 13:00,19.758,6200,,,,
106,9/28/15 13:30,19.948,5166.7,,,,
107,9/28/15 14:00,21.091,7233.4,,,,
108,9/28/15 14:30,21.091,6544.5,,,,
109,9/28/15 15:00,20.71,5166.7,,,,
110,9/28/15 15:30,20.519,6544.5,,,,
111,9/28/15 16:00,20.71,3961.1,,,,
112,9/28/15 16:30,20.519,3100,,,,
113,9/28/15 17:00,20.615,2669.5,,,,
114,9/28/15 17:30,20.138,2583.4,,,,
115,9/28/15 18:00,20.234,1162.5,,,,
116,9/28/15 18:30,19.662,409,,,,
117,9/28/15 19:00,19.187,64.6,,,,
118,9/28/15 19:30,18.521,0,,,,
119,9/28/15 20:00,18.045,0,,,,
120,9/28/15 20:30,17.95,0,,,,
121,9/28/15 21:00,17.855,0,,,,
122,9/28/15 21:30,17.855,0,,,,
123,9/28/15 22:00,17.76,0,,,,
124,9/28/15 22:30,17.855,0,,,,
125,9/28/15 23:00,18.14,0,,,,
126,9/28/15 23:30,18.426,0,,,,
127,9/29/15 0:00,18.426,0,,,,
128,9/29/15 0:30,18.331,0,,,,
129,9/29/15 1:00,18.331,0,,,,
130,9/29/15 1:30,18.331,0,,,,
131,9/29/15 2:00,18.331,0,,,,
132,9/29/15 2:30,18.331,0,,,,
133,9/29/15 3:00,18.14,0,,,,
134,9/29/15 3:30,17.95,0,,,,
135,9/29/15 4:00,17.855,0,,,,
136,9/29/15 4:30,17.855,0,,,,
137,9/29/15 5:00,18.045,0,,,,
138,9/29/15 5:30,17.95,0,,,,
139,9/29/15 6:00,18.045,0,,,,
140,9/29/15 6:30,18.045,0,,,,
141,9/29/15 7:00,17.95,75.3,,,,
142,9/29/15 7:30,18.045,322.9,,,,
143,9/29/15 8:00,18.236,150.7,,,,
144,9/29/15 8:30,18.521,1237.9,,,,
145,9/29/15 9:00,19.472,2238.9,,,,
146,9/29/15 9:30,19.662,1722.2,,,,
147,9/29/15 10:00,20.043,2497.2,,,,
148,9/29/15 10:30,20.519,2927.8,,,,
149,9/29/15 11:00,20.519,3100,,,,
150,9/29/15 11:30,20.519,1550,,,,
151,9/29/15 12:00,20.329,968.8,,,,
152,9/29/15 12:30,20.615,2411.1,,,,
153,9/29/15 13:00,20.901,3100,,,,
154,9/29/15 13:30,21.378,4477.8,,,,
155,9/29/15 14:00,20.996,1722.2,,,,
156,9/29/15 14:30,20.71,1377.8,,,,
157,9/29/15 15:00,20.71,1463.9,,,,
158,9/29/15 15:30,20.805,1076.4,,,,
159,9/29/15 16:00,20.71,861.1,,,,
160,9/29/15 16:30,20.615,775,,,,
161,9/29/15 17:00,20.519,581.3,,,,
162,9/29/15 17:30,20.329,312.2,,,,
163,9/29/15 18:00,20.234,161.5,,,,
164,9/29/15 18:30,20.234,43.1,,,,
165,9/29/15 19:00,20.043,0,,,,
166,9/29/15 19:30,19.758,0,,,,
167,9/29/15 20:00,19.567,0,,,,
168,9/29/15 20:30,19.472,0,,,,
169,9/29/15 21:00,19.377,0,,,,
170,9/29/15 21:30,19.187,0,,,,
171,9/29/15 22:00,19.092,0,,,,
172,9/29/15 22:30,18.996,0,,,,
173,9/29/15 23:00,18.901,0,,,,
174,9/29/15 23:30,18.901,0,,,,
175,9/30/15 0:00,18.806,0,,,,
176,9/30/15 0:30,18.806,0,,,,
177,9/30/15 1:00,18.806,0,,,,
178,9/30/15 1:30,18.711,0,,,,
179,9/30/15 2:00,18.711,0,,,,
180,9/30/15 2:30,18.711,0,,,,
181,9/30/15 3:00,18.711,0,,,,
182,9/30/15 3:30,18.711,0,,,,
183,9/30/15 4:00,18.711,0,,,,
184,9/30/15 4:30,18.521,0,,,,
185,9/30/15 5:00,18.331,0,,,,
186,9/30/15 5:30,17.665,0,,,,
187,9/30/15 6:00,16.999,0,,,,
188,9/30/15 6:30,16.713,0,,,,
189,9/30/15 7:00,16.618,0,,,,
190,9/30/15 7:30,16.427,193.8,,,,
191,9/30/15 8:00,16.046,269.1,,,,
192,9/30/15 8:30,15.473,419.8,,,,
193,9/30/15 9:00,15.378,473.6,,,,
194,9/30/15 9:30,15.282,753.5,,,,
195,9/30/15 10:00,15.282,1550,,,,
196,9/30/15 10:30,15.378,1141,,,,
197,9/30/15 11:00,15.091,1463.9,,,,
198,9/30/15 11:30,14.9,3272.2,,,,
199,9/30/15 12:00,14.804,2497.2,,,,
200,9/30/15 12:30,14.804,3961.1,,,,
201,9/30/15 13:00,14.804,4305.6,,,,
202,9/30/15 13:30,14.996,3272.2,,,,
203,9/30/15 14:00,14.23,1722.2,,,,
204,9/30/15 14:30,13.558,2152.8,,,,
205,9/30/15 15:00,13.269,3272.2,,,,
206,9/30/15 15:30,12.69,1636.1,,,,
207,9/30/15 16:00,12.497,1001,,,,
208,9/30/15 16:30,12.401,592,,,,
209,9/30/15 17:00,12.013,904.2,,,,
210,9/30/15 17:30,11.819,312.2,,,,
211,9/30/15 18:00,11.431,53.8,,,,
212,9/30/15 18:30,11.431,64.6,,,,
213,9/30/15 19:00,11.334,0,,,,
214,9/30/15 19:30,11.334,0,,,,
215,9/30/15 20:00,11.431,0,,,,
216,9/30/15 20:30,11.431,0,,,,
217,9/30/15 21:00,11.431,0,,,,
218,9/30/15 21:30,11.236,0,,,,
219,9/30/15 22:00,11.236,0,,,,
220,9/30/15 22:30,11.139,0,,,,
221,9/30/15 23:00,11.139,0,,,,
222,9/30/15 23:30,11.041,0,,,,
223,10/1/15 0:00,11.041,0,,,,
224,10/1/15 0:30,10.944,0,,,,
225,10/1/15 1:00,11.041,0,,,,
226,10/1/15 1:30,10.846,0,,,,
227,10/1/15 2:00,10.651,0,,,,
228,10/1/15 2:30,10.651,0,,,,
229,10/1/15 3:00,10.553,0,,,,
230,10/1/15 3:30,10.161,0,,,,
231,10/1/15 4:00,10.161,0,,,,
232,10/1/15 4:30,10.161,0,,,,
233,10/1/15 5:00,10.063,0,,,,
234,10/1/15 5:30,9.965,0,,,,
235,10/1/15 6:00,9.866,0,,,,
236,10/1/15 6:30,9.866,0,,,,
237,10/1/15 7:00,9.866,0,,,,
238,10/1/15 7:30,9.965,118.4,,,,
239,10/1/15 8:00,9.669,279.9,,,,
240,10/1/15 8:30,9.669,753.5,,,,
241,10/1/15 9:00,9.965,2066.7,,,,
242,10/1/15 9:30,10.063,1894.5,,,,
243,10/1/15 10:00,10.063,2927.8,,,,
244,10/1/15 10:30,10.455,4133.4,,,,
245,10/1/15 11:00,10.455,4994.5,,,,
246,10/1/15 11:30,10.553,3444.5,,,,
