Plot Title: 10522272,,,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 10522272, SEN S/N: 10522272)","Intensity, Lux (LGR S/N: 10522272, SEN S/N: 10522272)",Coupler Attached (LGR S/N: 10522272),Coupler Detached (LGR S/N: 10522272),Host Connected (LGR S/N: 10522272),Stopped (LGR S/N: 10522272),End Of File (LGR S/N: 10522272)
1,9/26/15 9:00,21.091,0,,,,,
2,9/26/15 9:30,20.234,0,,,,,
3,9/26/15 10:00,20.424,10.8,,,,,
4,9/26/15 10:30,20.996,183,,,,,
5,9/26/15 11:00,21.187,0,,,,,
6,9/26/15 11:30,21.378,0,,,,,
7,9/26/15 12:00,21.951,236.8,,,,,
8,9/26/15 12:30,21.855,139.9,,,,,
9,9/26/15 13:00,23.004,183,,,,,
10,9/26/15 13:30,24.062,32.3,,,,,
11,9/26/15 14:00,23.484,118.4,,,,,
12,9/26/15 14:30,23.581,0,,,,,
13,9/26/15 15:00,23.581,0,,,,,
14,9/26/15 15:30,23.388,0,,,,,
15,9/26/15 16:00,23.292,96.9,,,,,
16,9/26/15 16:30,23.388,96.9,,,,,
17,9/26/15 17:00,23.1,0,,,,,
18,9/26/15 17:30,22.717,0,,,,,
19,9/26/15 18:00,23.196,0,,,,,
20,9/26/15 18:30,22.812,0,,,,,
21,9/26/15 19:00,22.333,0,,,,,
22,9/26/15 19:30,21.951,0,,,,,
23,9/26/15 20:00,21.76,0,,,,,
24,9/26/15 20:30,21.569,0,,,,,
25,9/26/15 21:00,21.378,0,,,,,
26,9/26/15 21:30,21.282,0,,,,,
27,9/26/15 22:00,21.282,0,,,,,
28,9/26/15 22:30,21.091,0,,,,,
29,9/26/15 23:00,20.901,0,,,,,
30,9/26/15 23:30,20.805,0,,,,,
31,9/27/15 0:00,20.71,0,,,,,
32,9/27/15 0:30,20.615,0,,,,,
33,9/27/15 1:00,20.519,0,,,,,
34,9/27/15 1:30,20.424,0,,,,,
35,9/27/15 2:00,20.329,0,,,,,
36,9/27/15 2:30,20.234,0,,,,,
37,9/27/15 3:00,20.138,0,,,,,
