Plot Title: 10761234,,,,,,,,
#,"Date Time, GMT-04:00","Temp, ¡C (LGR S/N: 10761234, SEN S/N: 10761234)","Intensity, Lux (LGR S/N: 10761234, SEN S/N: 10761234)",Coupler Attached (LGR S/N: 10761234),Coupler Detached (LGR S/N: 10761234),Host Connected (LGR S/N: 10761234),Stopped (LGR S/N: 10761234),End Of File (LGR S/N: 10761234)
1,9/26/15 9:00,21.091,0,,,,,
2,9/26/15 9:30,20.805,0,,,,,
3,9/26/15 10:00,20.519,21.5,,,,,
4,9/26/15 10:30,20.901,441.3,,,,,
5,9/26/15 11:00,21.187,0,,,,,
6,9/26/15 11:30,21.378,0,,,,,
7,9/26/15 12:00,21.664,118.4,,,,,
8,9/26/15 12:30,21.855,172.2,,,,,
9,9/26/15 13:00,22.333,236.8,,,,,
10,9/26/15 13:30,23.677,86.1,,,,,
11,9/26/15 14:00,23.773,290.6,,,,,
12,9/26/15 14:30,23.869,0,,,,,
13,9/26/15 15:00,23.677,0,,,,,
14,9/26/15 15:30,23.388,0,,,,,
15,9/26/15 16:00,23.196,215.3,,,,,
16,9/26/15 16:30,23.388,462.9,,,,,
17,9/26/15 17:00,23.292,21.5,,,,,
18,9/26/15 17:30,22.525,96.9,,,,,
19,9/26/15 18:00,23.1,10.8,,,,,
20,9/26/15 18:30,22.621,0,,,,,
21,9/26/15 19:00,22.142,0,,,,,
22,9/26/15 19:30,21.76,0,,,,,
23,9/26/15 20:00,21.569,0,,,,,
24,9/26/15 20:30,21.473,0,,,,,
25,9/26/15 21:00,21.378,0,,,,,
26,9/26/15 21:30,21.282,0,,,,,
27,9/26/15 22:00,21.187,0,,,,,
28,9/26/15 22:30,21.091,0,,,,,
29,9/26/15 23:00,20.996,0,,,,,
30,9/26/15 23:30,20.805,0,,,,,
31,9/27/15 0:00,20.71,0,,,,,
32,9/27/15 0:30,20.615,0,,,,,
33,9/27/15 1:00,20.519,0,,,,,
34,9/27/15 1:30,20.424,0,,,,,
35,9/27/15 2:00,20.329,0,,,,,
36,9/27/15 2:30,20.234,0,,,,,
37,9/27/15 3:00,20.234,0,,,,,
38,9/27/15 3:30,20.138,0,,,,,
39,9/27/15 4:00,20.043,0,,,,,
40,9/27/15 4:30,19.948,0,,,,,
41,9/27/15 5:00,19.948,0,,,,,
42,9/27/15 5:30,19.853,0,,,,,
43,9/27/15 6:00,19.758,0,,,,,
44,9/27/15 6:30,19.758,0,,,,,
45,9/27/15 7:00,19.758,0,,,,,
46,9/27/15 7:30,19.662,0,,,,,
47,9/27/15 8:00,18.901,0,,,,,
48,9/27/15 8:30,18.14,0,,,,,
49,9/27/15 9:00,17.379,366,,,,,
50,9/27/15 9:30,16.808,32.3,,,,,
51,9/27/15 10:00,15.569,0,,,,,
52,9/27/15 10:30,15.378,0,,,,,
53,9/27/15 11:00,15.76,0,,,,,
54,9/27/15 11:30,17.379,43.1,,,,,
55,9/27/15 12:00,16.713,2411.1,,,,,
56,9/27/15 12:30,15.855,2497.2,,,,,
57,9/27/15 13:00,16.713,2755.6,,,,,
58,9/27/15 13:30,16.808,2927.8,,,,,
59,9/27/15 14:00,18.045,3100,,,,,
60,9/27/15 14:30,18.045,3100,,,,,
61,9/27/15 15:00,17.95,1722.2,,,,,
62,9/27/15 15:30,18.236,2755.6,,,,,
63,9/27/15 16:00,17.76,2755.6,,,,,
64,9/27/15 16:30,17.855,2066.7,,,,,
65,9/27/15 17:00,17.189,495.1,,,,,
66,9/27/15 17:30,16.713,645.8,,,,,
67,9/27/15 18:00,16.141,398.3,,,,,
68,9/27/15 18:30,15.76,118.4,,,,,
69,9/27/15 19:00,15.378,0,,,,,
70,9/27/15 19:30,14.804,0,,,,,
71,9/27/15 20:00,14.325,0,,,,,
72,9/27/15 20:30,13.846,0,,,,,
73,9/27/15 21:00,13.558,0,,,,,
74,9/27/15 21:30,13.461,0,,,,,
75,9/27/15 22:00,13.365,0,,,,,
76,9/27/15 22:30,13.269,0,,,,,
77,9/27/15 23:00,13.173,0,,,,,
78,9/27/15 23:30,13.173,0,,,,,
79,9/28/15 0:00,13.365,0,,,,,
80,9/28/15 0:30,13.269,0,,,,,
81,9/28/15 1:00,13.076,0,,,,,
82,9/28/15 1:30,12.98,0,,,,,
83,9/28/15 2:00,12.883,0,,,,,
84,9/28/15 2:30,12.98,0,,,,,
85,9/28/15 3:00,13.173,0,,,,,
86,9/28/15 3:30,13.654,0,,,,,
87,9/28/15 4:00,14.038,0,,,,,
88,9/28/15 4:30,14.038,0,,,,,
89,9/28/15 5:00,14.325,0,,,,,
90,9/28/15 5:30,14.23,0,,,,,
91,9/28/15 6:00,14.134,0,,,,,
92,9/28/15 6:30,14.421,0,,,,,
93,9/28/15 7:00,14.517,172.2,,,,,
94,9/28/15 7:30,14.517,236.8,,,,,
95,9/28/15 8:00,14.517,236.8,,,,,
96,9/28/15 8:30,14.421,129.2,,,,,
97,9/28/15 9:00,14.325,613.5,,,,,
98,9/28/15 9:30,14.613,936.5,,,,,
99,9/28/15 10:00,14.996,2152.8,,,,,
100,9/28/15 10:30,15.378,914.9,,,,,
101,9/28/15 11:00,15.569,1237.9,,,,,
102,9/28/15 11:30,15.76,1065.6,,,,,
103,9/28/15 12:00,15.951,796.5,,,,,
104,9/28/15 12:30,15.951,807.3,,,,,
105,9/28/15 13:00,15.855,1097.9,,,,,
106,9/28/15 13:30,16.427,2238.9,,,,,
107,9/28/15 14:00,16.427,1097.9,,,,,
108,9/28/15 14:30,16.808,1550,,,,,
109,9/28/15 15:00,16.999,1141,,,,,
110,9/28/15 15:30,16.999,979.5,,,,,
111,9/28/15 16:00,17.094,1141,,,,,
112,9/28/15 16:30,16.999,484.4,,,,,
113,9/28/15 17:00,16.999,699.7,,,,,
114,9/28/15 17:30,17.094,269.1,,,,,
115,9/28/15 18:00,16.903,290.6,,,,,
116,9/28/15 18:30,16.618,64.6,,,,,
117,9/28/15 19:00,16.427,0,,,,,
118,9/28/15 19:30,16.237,0,,,,,
119,9/28/15 20:00,16.046,0,,,,,
120,9/28/15 20:30,15.855,0,,,,,
121,9/28/15 21:00,15.76,0,,,,,
