Plot Title: 10522260,,,,,,,
#,"Date Time, GMT-04:00","Temp, ¡C (LGR S/N: 10522260, SEN S/N: 10522260)","Intensity, Lux (LGR S/N: 10522260, SEN S/N: 10522260)",Coupler Attached (LGR S/N: 10522260),Host Connected (LGR S/N: 10522260),Stopped (LGR S/N: 10522260),End Of File (LGR S/N: 10522260)
1,9/26/15 9:00,20.996,0,,,,
2,9/26/15 9:30,21.091,0,,,,
3,9/26/15 10:00,20.71,10.8,,,,
4,9/26/15 10:30,20.996,96.9,,,,
5,9/26/15 11:00,21.282,0,,,,
6,9/26/15 11:30,21.378,0,,,,
7,9/26/15 12:00,21.76,172.2,,,,
8,9/26/15 12:30,21.951,53.8,,,,
9,9/26/15 13:00,22.333,107.6,,,,
10,9/26/15 13:30,23.677,32.3,,,,
11,9/26/15 14:00,23.677,376.7,,,,
12,9/26/15 14:30,23.869,0,,,,
13,9/26/15 15:00,23.581,0,,,,
14,9/26/15 15:30,23.388,0,,,,
15,9/26/15 16:00,23.196,21.5,,,,
16,9/26/15 16:30,23.292,279.9,,,,
17,9/26/15 17:00,23.292,0,,,,
18,9/26/15 17:30,23.196,0,,,,
19,9/26/15 18:00,23.1,0,,,,
20,9/26/15 18:30,23.196,0,,,,
21,9/26/15 19:00,22.908,0,,,,
22,9/26/15 19:30,22.621,0,,,,
23,9/26/15 20:00,22.333,0,,,,
24,9/26/15 20:30,22.046,0,,,,
25,9/26/15 21:00,21.855,0,,,,
26,9/26/15 21:30,21.664,0,,,,
27,9/26/15 22:00,21.569,0,,,,
28,9/26/15 22:30,21.473,0,,,,
29,9/26/15 23:00,21.282,0,,,,
30,9/26/15 23:30,21.187,0,,,,
31,9/27/15 0:00,21.091,0,,,,
32,9/27/15 0:30,20.901,0,,,,
33,9/27/15 1:00,20.805,0,,,,
34,9/27/15 1:30,20.71,0,,,,
35,9/27/15 2:00,20.615,0,,,,
36,9/27/15 2:30,20.519,0,,,,
37,9/27/15 3:00,20.424,0,,,,
38,9/27/15 3:30,20.329,0,,,,
39,9/27/15 4:00,20.234,0,,,,
40,9/27/15 4:30,20.234,0,,,,
41,9/27/15 5:00,20.138,0,,,,
42,9/27/15 5:30,20.043,0,,,,
43,9/27/15 6:00,19.948,0,,,,
44,9/27/15 6:30,19.948,0,,,,
45,9/27/15 7:00,19.853,0,,,,
46,9/27/15 7:30,19.853,0,,,,
47,9/27/15 8:00,19.472,10.8,,,,
48,9/27/15 8:30,18.806,0,,,,
49,9/27/15 9:00,17.95,32.3,,,,
50,9/27/15 9:30,16.713,0,,,,
51,9/27/15 10:00,16.618,0,,,,
52,9/27/15 10:30,16.141,0,,,,
53,9/27/15 11:00,16.046,0,,,,
54,9/27/15 11:30,17.189,32.3,,,,
55,9/27/15 12:00,17.284,2238.9,,,,
56,9/27/15 12:30,13.365,96.9,,,,
57,9/27/15 13:00,13.461,118.4,,,,
58,9/27/15 13:30,13.558,107.6,,,,
59,9/27/15 14:00,13.75,118.4,,,,
60,9/27/15 14:30,13.846,107.6,,,,
61,9/27/15 15:00,14.038,53.8,,,,
62,9/27/15 15:30,14.23,86.1,,,,
63,9/27/15 16:00,14.325,53.8,,,,
64,9/27/15 16:30,14.325,0,,,,
65,9/27/15 17:00,14.325,0,,,,
66,9/27/15 17:30,14.325,10.8,,,,
67,9/27/15 18:00,14.325,0,,,,
68,9/27/15 18:30,14.23,0,,,,
69,9/27/15 19:00,14.23,0,,,,
70,9/27/15 19:30,14.23,0,,,,
71,9/27/15 20:00,14.134,0,,,,
72,9/27/15 20:30,14.134,0,,,,
73,9/27/15 21:00,14.038,0,,,,
74,9/27/15 21:30,13.942,0,,,,
75,9/27/15 22:00,13.942,0,,,,
